unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
9079639597095,-1.7025757,8.397324,4.8438263,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079659738697,-2.0067139,8.746048,3.8398132,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079679880299,-1.7094574,8.803467,3.4465637,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079700021900,-1.3336182,8.81636,3.1458893,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079720163502,-1.4967499,8.878662,3.3179626,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079740305103,-1.6360474,9.115311,3.55159,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079760446705,-1.8587952,9.250366,3.8037567,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079780588306,-2.0610352,9.147537,4.112747,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079800729908,-1.8898773,8.79512,4.2196198,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079820871509,-1.6711273,8.676117,3.8730316,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079841013111,-1.6683655,8.8654175,3.3023682,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079861154713,-1.2315521,9.2200165,3.0543823,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079881296314,-1.4978485,9.247421,3.222992,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079901437916,-1.6311188,9.027496,4.196472,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079921579517,-1.5977936,8.98999,5.966049,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079941721119,-1.6845856,9.058029,5.887085,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079961862720,-1.7994843,9.137482,5.401703,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079961862720,,,,,,,0.19194031,-0.055786133,0.011810303,,,,,,,,,,,,,,,,,,,,,
9079969644703,,,,-0.587584,0.30766106,2.0176208,,,,,,,,,,,,,,,,,,,,,,,,
9079982004322,-1.8334961,9.270523,4.052887,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079982004322,,,,,,,0.29574585,-0.10836792,0.037765503,,,,,,,,,,,,,,,,,,,,,
9079989481129,,,,-0.5379498,0.41886806,0.18442726,,,,,,,,,,,,,,,,,,,,,,,,
9080002145924,-1.727066,9.183731,2.890564,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080002145924,,,,,,,0.24893188,-0.15924072,0.09024048,,,,,,,,,,,,,,,,,,,,,
9080009348072,,,,-0.37610483,0.1545906,-0.45723844,,,,,,,,,,,,,,,,,,,,,,,,
9080022287525,-1.5379333,9.197128,2.87323,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080022287525,,,,,,,-0.026245117,-0.1812439,0.107666016,,,,,,,,,,,,,,,,,,,,,
9080022287525,,,,,,,,,,,,,-10.093689,-1.5350342,1.0864258,,,,,,,,,,,,,,,
9080029153980,,,,-0.19031096,0.28032207,-0.07822132,,,,,,,,,,,,,,,,,,,,,,,,
