unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
9293000517124,-2.4685516,5.7561035,5.3993073,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293000517124,,,,,,,-0.1081543,0.07081604,-0.08583069,,,,,,,,,,,,,,,,,,,,,
9293006101841,,,,-0.4272766,-1.9975934,1.0981841,,,,,,,,,,,,,,,,,,,,,,,,
9293020658725,-2.5456085,5.853943,6.2508545,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293020658725,,,,,,,-0.120025635,-0.11341858,-0.1333313,,,,,,,,,,,,,,,,,,,,,
9293025938266,,,,-0.37981296,-1.8054633,2.1022105,,,,,,,,,,,,,,,,,,,,,,,,
9293040800327,-2.370987,5.8541565,7.0855865,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293045805210,,,,-0.1337626,-1.694921,2.604681,,,,,,,,,,,,,,,,,,,,,,,,
9293040800327,,,,,,,-0.08453369,-0.15222168,-0.12574768,,,,,,,,,,,,,,,,,,,,,
9293040800327,,,,,,,,,,,,,4.660034,14.434814,-9.80072,,,,,,,,,,,,,,,
9293060941929,-2.2419739,5.9843597,7.3793488,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293060941929,,,,,,,,,,,,,4.5318604,15.333557,-10.174561,,,,,,,,,,,,,,,
9293065641636,,,,-0.0332973,-1.4230089,2.589137,,,,,,,,,,,,,,,,,,,,,,,,
9293065641636,,,,,,,,,,339.19937,-57.05765,-13.839293,,,,,,,,,,,,,,,,,,
9293060941929,,,,,,,-0.009384155,-0.0541687,-0.075546265,,,,,,,,,,,,,,,,,,,,,
9293081083530,-2.2736359,6.1093597,7.2938995,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293081083530,,,,,,,,,,,,,5.4016113,14.434814,-9.654236,,,,,,,,,,,,,,,
9293081083530,,,,,,,0.017822266,0.043258667,-0.05192566,,,,,,,,,,,,,,,,,,,,,
9293085508579,,,,-0.087171555,-1.2418799,2.299821,,,,,,,,,,,,,,,,,,,,,,,,
9293085508579,,,,,,,,,,339.58463,-56.082817,-13.914815,,,,,,,,,,,,,,,,,,
9293101225132,-2.3380432,6.2237396,7.270218,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293101225132,,,,,,,,,,,,,5.6625366,14.099121,-9.472656,,,,,,,,,,,,,,,
9293101225132,,,,,,,0.01234436,0.08731079,-0.027908325,,,,,,,,,,,,,,,,,,,,,
9293105345005,,,,-0.12897778,-1.0682073,2.1976614,,,,,,,,,,,,,,,,,,,,,,,,
9293105345005,,,,,,,,,,339.7553,-55.24766,-14.011579,,,,,,,,,,,,,,,,,,
9293121366733,-2.5275116,6.356888,7.451706,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293121366733,,,,,,,,,,,,,4.988098,13.691711,-10.133362,,,,,,,,,,,,,,,
9293121366733,,,,,,,0.041366577,0.13595581,0.0069274902,,,,,,,,,,,,,,,,,,,,,
9293125211948,,,,-0.3185203,-0.8885555,2.3072143,,,,,,,,,,,,,,,,,,,,,,,,
9293125211948,,,,,,,,,,339.83405,-54.49754,-14.146577,,,,,,,,,,,,,,,,,,
9293141508335,-2.589447,6.3714294,6.9822083,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293141508335,,,,,,,,,,,,,5.5130005,14.007568,-10.426331,,,,,,,,,,,,,,,
9293141508335,,,,,,,0.08917236,0.22593689,0.05519104,,,,,,,,,,,,,,,,,,,,,
9293145048374,,,,-0.31236362,-0.8686881,1.6217723,,,,,,,,,,,,,,,,,,,,,,,,
9293145048374,,,,,,,,,,339.79785,-54.048107,-14.314295,,,,,,,,,,,,,,,,,,
9293161649936,-2.707077,6.4683228,6.650116,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293161649936,,,,,,,,,,,,,5.6625366,14.099121,-10.456848,,,,,,,,,,,,,,,
9293161649936,,,,,,,0.055984497,0.25398254,0.07128906,,,,,,,,,,,,,,,,,,,,,
9293164915317,,,,,,,,,,339.59732,-53.746346,-14.521734,,,,,,,,,,,,,,,,,,
9293164915317,,,,-0.41229296,-0.72579145,1.3166695,,,,,,,,,,,,,,,,,,,,,,,,
9293181791538,-2.7091217,6.4352417,7.206131,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293181791538,,,,,,,,,,,,,5.519104,14.527893,-10.037231,,,,,,,,,,,,,,,
9293181791538,,,,,,,0.013198853,0.1661377,0.024536133,,,,,,,,,,,,,,,,,,,,,
9293184751743,,,,-0.35730886,-0.7581377,1.9460888,,,,,,,,,,,,,,,,,,,,,,,,
9293184751743,,,,,,,,,,339.516,-53.24735,-14.675818,,,,,,,,,,,,,,,,,,
9293201933140,-2.5635376,6.42395,7.52742,,,,,,,,,,,,,,,,,,,,,,,,,,,
