unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
11815437789876,-1.614914,6.6844482,4.8131866,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815457931478,-2.6643066,6.282608,5.5030975,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815478073079,-2.6578217,6.1661377,6.901306,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815498214681,-2.2163086,5.8784485,7.8635864,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815518356282,-1.7100372,5.637146,7.5093384,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815538497884,-1.4695587,5.6091003,6.802643,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815558639486,-1.5445251,5.7184143,6.306488,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815578781087,-1.437912,5.785492,5.990204,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815598922689,-1.526413,5.7204895,5.748184,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815619064290,-1.8868103,6.04158,5.8345947,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815639205892,-1.560669,6.1265717,6.199829,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815659347493,-1.5228424,5.8945465,6.7924957,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815679489095,-1.3190308,5.498459,8.07373,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815699630696,-1.3884125,5.6273193,7.936798,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815713424642,,,,1.4449878,-0.27930117,1.6226664,,,,,,,,,,,,,,,,,,,,,,,,
11815719772298,-1.5118408,5.8262634,7.2147675,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815739913900,-1.5308228,5.8493195,6.1683044,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815748794515,,,,1.3007326,-0.23848867,-0.18098831,,,,,,,,,,,,,,,,,,,,,,,,
11815719772298,,,,,,,0.059951782,-0.04119873,-0.050460815,,,,,,,,,,,,,,,,,,,,,
11815739913900,,,,,,,0.15969849,-0.0728302,-0.04133606,,,,,,,,,,,,,,,,,,,,,
11815760055501,-2.6638641,6.0523224,5.3620453,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815760055501,,,,,,,0.104522705,-0.06402588,-0.0013122559,,,,,,,,,,,,,,,,,,,,,
11815767837484,,,,-0.5645168,0.069245815,-0.7000475,,,,,,,,,,,,,,,,,,,,,,,,
11815780197103,-2.9159393,5.764557,5.784256,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815787612874,,,,0.24899697,-0.5553374,0.31973362,,,,,,,,,,,,,,,,,,,,,,,,
11815780197103,,,,,,,-0.20567322,0.117248535,0.18711853,,,,,,,,,,,,,,,,,,,,,
11815787612874,,,,,,,,,,24.553223,-45.99147,-18.666412,,,,,,,,,,,,,,,,,,
11815780197103,,,,,,,,,,,,,-15.711975,23.26355,-22.59674,,,,,,,,,,,,,,,
11815800338704,-2.677414,5.6488953,6.3175507,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815808181722,,,,0.120961905,-0.2650652,0.45972586,,,,,,,,,,,,,,,,,,,,,,,,
11815800338704,,,,,,,-0.62028503,0.3738556,0.3090515,,,,,,,,,,,,,,,,,,,,,
11815808181722,,,,,,,,,,24.014069,-45.269432,-18.624725,,,,,,,,,,,,,,,,,,
11815800338704,,,,,,,,,,,,,-16.566467,24.061584,-22.016907,,,,,,,,,,,,,,,
11815820480306,-2.8460693,6.234482,7.5626373,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815820480306,,,,,,,-1.028595,0.42318726,0.23402405,,,,,,,,,,,,,,,,,,,,,
11815827224691,,,,-0.043524742,0.57266855,2.042272,,,,,,,,,,,,,,,,,,,,,,,,
11815827224691,,,,,,,,,,23.631287,-43.956795,-18.54455,,,,,,,,,,,,,,,,,,
11815820480306,,,,,,,,,,,,,-17.8833,23.347473,-21.121216,,,,,,,,,,,,,,,
11815840621907,-2.4392853,6.4111023,8.445496,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815847030599,,,,0.644547,0.5132923,2.1804514,,,,,,,,,,,,,,,,,,,,,,,,
11815840621907,,,,,,,-0.982193,0.38697815,0.18991089,,,,,,,,,,,,,,,,,,,,,
11815847030599,,,,,,,,,,23.364563,-42.509705,-18.262882,,,,,,,,,,,,,,,,,,
11815840621907,,,,,,,,,,,,,-16.957092,23.706055,-22.03064,,,,,,,,,,,,,,,
11815860763509,-2.952942,5.66539,8.8020935,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815860763509,,,,,,,-0.5900879,0.25785828,0.16233826,,,,,,,,,,,,,,,,,,,,,
11815867568929,,,,-0.42103004,-0.42971754,2.3444948,,,,,,,,,,,,,,,,,,,,,,,,
11815867568929,,,,,,,,,,23.132446,-41.160957,-18.35915,,,,,,,,,,,,,,,,,,
11815860763509,,,,,,,,,,,,,-15.119934,24.786377,-22.668457,,,,,,,,,,,,,,,
11815880905111,-2.2928314,5.414154,8.783707,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815880905111,,,,,,,-0.2639618,0.13345337,0.19309998,,,,,,,,,,,,,,,,,,,,,
11815886611898,,,,0.9923711,-0.2513137,2.017171,,,,,,,,,,,,,,,,,,,,,,,,
11815886611898,,,,,,,,,,22.998291,-40.38587,-17.90756,,,,,,,,,,,,,,,,,,
11815880905111,,,,,,,,,,,,,-14.376831,25.534058,-21.940613,,,,,,,,,,,,,,,
11815901046712,-2.5959015,5.243164,8.945541,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815901046712,,,,,,,-0.10220337,6.866455E-4,0.14956665,,,,,,,,,,,,,,,,,,,,,
11815906417806,,,,-0.039110184,-0.5085721,2.1968894,,,,,,,,,,,,,,,,,,,,,,,,
