unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
9264580713234,-2.67659,3.874649,9.3415985,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264580713234,,,,,,,-0.011856079,-0.10676575,-0.036376953,,,,,,,,,,,,,,,,,,,,,
9264600732765,,,,1.4702301,-0.08261752,0.20541763,,,,,,,,,,,,,,,,,,,,,,,,
9264600854836,-2.5920105,3.436737,9.859634,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264600854836,,,,,,,-0.10513306,-0.36463928,-0.07369995,,,,,,,,,,,,,,,,,,,,,
9264619775734,,,,0.863466,-0.6760678,0.35750866,,,,,,,,,,,,,,,,,,,,,,,,
9264620996437,-3.0617218,2.7731628,10.024536,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264620996437,,,,,,,-0.13453674,-0.37252808,-0.07470703,,,,,,,,,,,,,,,,,,,,,
9264639642678,,,,0.88832664,-0.57950354,-0.4280691,,,,,,,,,,,,,,,,,,,,,,,,
9264639642678,,,,,,,,,,72.85364,-19.113281,-20.40739,,,,,,,,,,,,,,,,,,
9264620996437,,,,,,,,,,,,,-27.989197,5.395508,-12.712097,,,,,,,,,,,,,,,
9264641138039,-2.9148407,2.800537,9.225052,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264641138039,,,,,,,,,,,,,-26.83258,6.0272217,-12.072754,,,,,,,,,,,,,,,
9264660242043,,,,1.1386867,-0.3070457,-1.3004694,,,,,,,,,,,,,,,,,,,,,,,,
9264641138039,,,,,,,-0.32200623,-0.08998108,0.06359863,,,,,,,,,,,,,,,,,,,,,
9264660242043,,,,,,,,,,72.681305,-18.612034,-20.156178,,,,,,,,,,,,,,,,,,
9264661279640,-2.5595856,2.9483337,8.459763,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264679376564,,,,1.9233918,-0.19122839,0.24095345,,,,,,,,,,,,,,,,,,,,,,,,
9264661279640,,,,,,,,,,,,,-28.070068,6.0272217,-11.769104,,,,,,,,,,,,,,,
9264661279640,,,,,,,-0.72314453,0.08721924,0.16648865,,,,,,,,,,,,,,,,,,,,,
9264679376564,,,,,,,,,,72.46173,-17.660202,-19.605942,,,,,,,,,,,,,,,,,,
9264681421242,-1.7855072,2.8450012,10.120895,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264699212990,,,,1.1285048,-0.6207042,1.5093403,,,,,,,,,,,,,,,,,,,,,,,,
9264681421242,,,,,,,-0.9626007,0.013961792,0.14707947,,,,,,,,,,,,,,,,,,,,,
9264681421242,,,,,,,,,,,,,-28.225708,5.973816,-11.717224,,,,,,,,,,,,,,,
9264699212990,,,,,,,,,,72.61487,-16.457373,-18.883902,,,,,,,,,,,,,,,,,,
9264701562844,-2.6029816,2.2350006,11.547379,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264701562844,,,,,,,,,,,,,-29.364014,5.5786133,-11.256409,,,,,,,,,,,,,,,
9264701562844,,,,,,,-0.43910217,-0.6670685,-0.15859985,,,,,,,,,,,,,,,,,,,,,
9264719842873,,,,-0.8134837,-1.0596573,2.6636467,,,,,,,,,,,,,,,,,,,,,,,,
9264719842873,,,,,,,,,,73.3147,-15.502575,-17.968925,,,,,,,,,,,,,,,,,,
9264721704445,-4.1005554,1.7850342,12.822861,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264721704445,,,,,,,,,,,,,-27.7359,6.0272217,-11.112976,,,,,,,,,,,,,,,
9264721704445,,,,,,,0.033172607,-1.1250305,-0.16741943,,,,,,,,,,,,,,,,,,,,,
9264738946877,,,,0.1269002,-0.60266185,3.0717363,,,,,,,,,,,,,,,,,,,,,,,,
9264738946877,,,,,,,,,,73.82126,-15.147946,-16.635206,,,,,,,,,,,,,,,,,,
9264741846047,-2.8107605,2.196579,13.252655,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264741846047,,,,,,,,,,,,,-27.590942,6.124878,-11.256409,,,,,,,,,,,,,,,
9264741846047,,,,,,,0.2697296,-0.9133301,0.11930847,,,,,,,,,,,,,,,,,,,,,
9264758813820,,,,1.6179237,-0.60441804,2.0471745,,,,,,,,,,,,,,,,,,,,,,,,
9264758813820,,,,,,,,,,73.98181,-15.248637,-15.203845,,,,,,,,,,,,,,,,,,
9264761987648,-1.4028931,2.2009735,12.076187,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264761987648,,,,,,,,,,,,,-26.916504,6.7245483,-11.767578,,,,,,,,,,,,,,,
9264761987648,,,,,,,0.53060913,-0.63549805,0.2256012,,,,,,,,,,,,,,,,,,,,,
9264779413185,,,,0.915014,-0.97651076,-0.5827904,,,,,,,,,,,,,,,,,,,,,,,,
9264779413185,,,,,,,,,,73.923096,-15.855532,-14.305296,,,,,,,,,,,,,,,,,,
9264782129250,-1.8151093,2.104004,9.486191,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264782129250,,,,,,,0.8510437,-0.5521698,0.2447815,,,,,,,,,,,,,,,,,,,,,
9264798517189,,,,0.9376173,-0.27845812,-2.8229866,,,,,,,,,,,,,,,,,,,,,,,,
9264782129250,,,,,,,,,,,,,-27.903748,6.867981,-9.963989,,,,,,,,,,,,,,,
9264798517189,,,,,,,,,,73.78723,-16.977201,-13.512197,,,,,,,,,,,,,,,,,,
9264802270851,-1.6033173,2.8977203,7.442642,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264802270851,,,,,,,,,,,,,-27.998352,6.9625854,-10.057068,,,,,,,,,,,,,,,
9264802270851,,,,,,,0.87657166,-0.7726135,0.27268982,,,,,,,,,,,,,,,,,,,,,
9264818384133,,,,0.91488194,-0.21520495,-2.7002268,,,,,,,,,,,,,,,,,,,,,,,,
9264818384133,,,,,,,,,,73.747314,-17.990656,-12.445866,,,,,,,,,,,,,,,,,,
9264815698586,,,,,,,,,,,,,,,,,,,,,,,1024.8068,,,,,,,
9264822412453,-1.4913483,3.005188,7.625168,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264822412453,,,,,,,0.5205078,-0.9813843,0.22038269,,,,,,,,,,,,,,,,,,,,,
9264838983498,,,,0.40290475,-0.6615138,-1.7270899,,,,,,,,,,,,,,,,,,,,,,,,
9264822412453,,,,,,,,,,,,,-28.372192,7.3394775,-10.295105,,,,,,,,,,,,,,,
9264838983498,,,,,,,,,,73.85864,-18.420462,-11.209616,,,,,,,,,,,,,,,,,,
9264842554055,-1.5870361,2.7843628,8.762314,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264858087502,,,,0.7912915,-0.21812415,0.3305092,,,,,,,,,,,,,,,,,,,,,,,,
9264842554055,,,,,,,,,,,,,-28.23639,7.2052,-9.635925,,,,,,,,,,,,,,,
9264842554055,,,,,,,0.13522339,-1.0799866,0.21972656,,,,,,,,,,,,,,,,,,,,,
9264849267922,,,,,,,,,,,,,,,,,,,,,,,1024.8068,,,,,,,
9264858087502,,,,,,,,,,73.95389,-18.354347,-9.8779,,,,,,,,,,,,,,,,,,
9264862695656,-0.88308716,3.1007538,10.914444,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264862695656,,,,,,,,,,,,,-28.353882,7.0877075,-9.216309,,,,,,,,,,,,,,,
9264862695656,,,,,,,-0.24023438,-0.88175964,0.27766418,,,,,,,,,,,,,,,,,,,,,
9264877954445,,,,1.3731745,-0.35686755,2.0906162,,,,,,,,,,,,,,,,,,,,,,,,
9264877954445,,,,,,,,,,73.90735,-17.81255,-8.62491,,,,,,,,,,,,,,,,,,
9264882837258,,,,,,,,,,,,,,,,,,,,,,,1024.8151,,,,,,,
9264882837258,-0.17880249,2.8826752,12.507767,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264898584328,,,,1.5818857,-0.52158403,2.5751991,,,,,,,,,,,,,,,,,,,,,,,,
9264882837258,,,,,,,-0.4257965,-0.44618225,0.31111145,,,,,,,,,,,,,,,,,,,,,
9264882837258,,,,,,,,,,,,,-28.738403,7.017517,-8.140564,,,,,,,,,,,,,,,
9264898584328,,,,,,,,,,73.68793,-17.141048,-7.7850146,,,,,,,,,,,,,,,,,,
9264902978859,0.08387756,2.7456665,12.676575,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264902978859,,,,,,,,,,,,,-28.738403,8.045959,-9.144592,,,,,,,,,,,,,,,
9264917657814,,,,1.4546756,-0.24243474,1.2219477,,,,,,,,,,,,,,,,,,,,,,,,
9264902978859,,,,,,,-0.23573303,-0.09919739,0.30592346,,,,,,,,,,,,,,,,,,,,,
9264916406594,,,,,,,,,,,,,,,,,,,,,,,1024.8168,,,,,,,
9264917657814,,,,,,,,,,73.37201,-16.951366,-7.3203907,,,,,,,,,,,,,,,,,,
9264923120461,-0.10748291,2.825058,11.102478,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264923120461,,,,,,,,,,,,,-28.372192,8.415222,-8.511353,,,,,,,,,,,,,,,
9264923120461,,,,,,,0.20724487,-0.09655762,0.19340515,,,,,,,,,,,,,,,,,,,,,
9264937524758,,,,0.8151784,-0.7108278,-0.8172102,,,,,,,,,,,,,,,,,,,,,,,,
9264937524758,,,,,,,,,,73.18875,-17.203451,-7.010944,,,,,,,,,,,,,,,,,,
9264943262062,-0.6961975,2.4046173,9.463455,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264943262062,,,,,,,,,,,,,-27.494812,8.921814,-7.3028564,,,,,,,,,,,,,,,
9264943262062,,,,,,,0.38731384,-0.20620728,0.09690857,,,,,,,,,,,,,,,,,,,,,
9264958124123,,,,,,,,,,73.10733,-17.511974,-6.735186,,,,,,,,,,,,,,,,,,
9264958124123,,,,0.1428144,-1.1420748,-1.2281685,,,,,,,,,,,,,,,,,,,,,,,,
9264963403664,-1.000061,2.274414,9.225601,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264963403664,,,,,,,,,,,,,-27.7359,7.70874,-8.486938,,,,,,,,,,,,,,,
9264977258644,,,,0.57116854,-0.61701965,-0.8332758,,,,,,,,,,,,,,,,,,,,,,,,
9264963403664,,,,,,,0.23069763,-0.25552368,0.10858154,,,,,,,,,,,,,,,,,,,,,
9264949975930,,,,,,,,,,,,,,,,,,,,,,,1024.8268,,,,,,,
9264977258644,,,,,,,,,,73.036255,-17.649958,-6.3516903,,,,,,,,,,,,,,,,,,
9264983545265,-0.48905945,2.872589,9.730713,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264983545265,,,,,,,-0.04107666,-0.25587463,0.16653442,,,,,,,,,,,,,,,,,,,,,
9264997095070,,,,0.938689,0.042919874,-0.080696106,,,,,,,,,,,,,,,,,,,,,,,,
9264983545265,,,,,,,,,,,,,-27.894592,6.802368,-7.7072144,,,,,,,,,,,,,,,
9264997095070,,,,,,,,,,72.902985,-17.572441,-5.8685117,,,,,,,,,,,,,,,,,,
9264983545265,,,,,,,,,,,,,,,,,,,,,,,1024.8289,,,,,,,
9265003686867,0.018707275,3.2646637,10.413788,,,,,,,,,,,,,,,,,,,,,,,,,,,
9265003686867,,,,,,,-0.26437378,-0.26478577,0.15330505,,,,,,,,,,,,,,,,,,,,,
9265003686867,,,,,,,,,,,,,-28.717041,5.2261353,-6.918335,,,,,,,,,,,,,,,
9265017724953,,,,1.4362932,-0.05313897,0.391531,,,,,,,,,,,,,,,,,,,,,,,,
9265017724953,,,,,,,,,,72.89224,-17.206009,-5.2873015,,,,,,,,,,,,,,,,,,
9265023828469,0.41882324,3.1052856,10.895798,,,,,,,,,,,,,,,,,,,,,,,,,,,
9265023828469,,,,,,,,,,,,,-29.73938,6.0272217,-8.816528,,,,,,,,,,,,,,,
9265023828469,,,,,,,-0.39097595,-0.27471924,0.08351135,,,,,,,,,,,,,,,,,,,,,
9265036828957,,,,1.3007803,-0.13562799,0.76417446,,,,,,,,,,,,,,,,,,,,,,,,
9265036828957,,,,,,,,,,72.928894,-16.71517,-4.7785244,,,,,,,,,,,,,,,,,,
9265017114601,,,,,,,,,,,,,,,,,,,,,,,1024.8367,,,,,,,
9265043970070,0.29118347,2.8189697,11.362961,,,,,,,,,,,,,,,,,,,,,,,,,,,
9265056695900,,,,0.95402956,-0.52831364,1.2015686,,,,,,,,,,,,,,,,,,,,,,,,
9265043970070,,,,,,,,,,,,,-29.02069,6.388855,-8.343506,,,,,,,,,,,,,,,
9265043970070,,,,,,,-0.3892212,-0.22033691,-0.0030059814,,,,,,,,,,,,,,,,,,,,,
9265056695900,,,,,,,,,,73.04547,-16.157112,-4.4087677,,,,,,,,,,,,,,,,,,
9265050683937,,,,,,,,,,,,,,,,,,,,,,,1024.8413,,,,,,,
9265064111672,-0.20169067,2.3648071,11.713333,,,,,,,,,,,,,,,,,,,,,,,,,,,
9265064111672,,,,,,,-0.3088379,-0.08155823,-0.050354004,,,,,,,,,,,,,,,,,,,,,
9265064111672,,,,,,,,,,,,,-27.856445,7.2769165,-7.5027466,,,,,,,,,,,,,,,
