unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
12307146497191,-1.0008087,6.264206,7.745697,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307166638792,-1.1685944,6.218933,7.546585,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307186780394,-1.095398,6.2493286,7.282074,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307206921995,-0.97447205,6.264862,7.119385,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307243329466,,,,0.2486111,-0.01490593,-0.098561764,,,,,,,,,,,,,,,,,,,,,,,,
12307227063597,-0.93400574,6.263275,7.1558533,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307247205198,-0.938324,6.2158203,7.165558,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307247205198,,,,,,,-0.09371948,-0.054336548,-0.0022583008,,,,,,,,,,,,,,,,,,,,,
12307263074339,,,,0.21669471,-0.09610844,-0.08427715,,,,,,,,,,,,,,,,,,,,,,,,
12307283612669,,,,0.02279973,-0.04224348,0.2262845,,,,,,,,,,,,,,,,,,,,,,,,
12307267346800,-0.9818268,6.185379,7.244522,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307267346800,,,,,,,-0.12397766,-0.0011444092,-0.0076293945,,,,,,,,,,,,,,,,,,,,,
12307287488402,-1.0804901,6.2039795,7.53302,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307302564085,,,,0.26878333,-0.06654167,0.28187418,,,,,,,,,,,,,,,,,,,,,,,,
12307287488402,,,,,,,-0.08418274,-0.0043029785,-0.010223389,,,,,,,,,,,,,,,,,,,,,
12307307630003,-0.8800659,6.1712494,7.6017303,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307307630003,,,,,,,-0.017974854,0.017059326,-0.023040771,,,,,,,,,,,,,,,,,,,,,
12307307630003,,,,,,,,,,,,,-10.151672,25.32196,-15.911865,,,,,,,,,,,,,,,
12307322339476,,,,0.22457433,-0.069570065,0.27299738,,,,,,,,,,,,,,,,,,,,,,,,
12307322339476,,,,,,,,,,18.595642,-40.35682,-6.712219,,,,,,,,,,,,,,,,,,
12307327771605,-0.9632416,6.125702,7.5722504,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307342847288,,,,0.037497997,-0.20463657,0.1324048,,,,,,,,,,,,,,,,,,,,,,,,
12307342847288,,,,,,,,,,18.506195,-40.301067,-6.832948,,,,,,,,,,,,,,,,,,
12307327771605,,,,,,,,,,,,,-9.829712,25.375366,-16.119385,,,,,,,,,,,,,,,
12307327771605,,,,,,,0.018203735,0.09561157,-0.041656494,,,,,,,,,,,,,,,,,,,,,
12307347913206,-1.1338806,6.072235,7.4961243,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307347913206,,,,,,,,,,,,,-12.039185,25.871277,-16.362,,,,,,,,,,,,,,,
12307347913206,,,,,,,0.05470276,0.1499176,-0.039093018,,,,,,,,,,,,,,,,,,,,,
12307361859739,,,,-0.0060420036,-0.012959003,0.2259965,,,,,,,,,,,,,,,,,,,,,,,,
12307361859739,,,,,,,,,,18.473602,-40.332367,-6.9778075,,,,,,,,,,,,,,,,,,
12307368054808,-1.2099152,6.2017365,7.408386,,,,,,,,,,,,,,,,,,,,,,,,,,,
